index,time_period,rainfall,mean_temperature,disease_cases,population,location
193,2017-01,386.534,24.44,253.0,733678.522672603,Acre
194,2017-02,271.348,24.89,251.0,733678.522672603,Acre
195,2017-03,301.901,24.82,212.0,733678.522672603,Acre
196,2017-04,202.661,24.88,162.0,733678.522672603,Acre
197,2017-05,149.251,24.93,90.0,733678.522672603,Acre
198,2017-06,57.723,23.92,65.0,733678.522672603,Acre
199,2017-07,15.245,24.52,50.0,733678.522672603,Acre
200,2017-08,74.9,26.33,60.0,733678.522672603,Acre
201,2017-09,118.748,26.23,37.0,733678.522672603,Acre
202,2017-10,157.263,26.07,113.0,733678.522672603,Acre
203,2017-11,240.784,25.38,213.0,733678.522672603,Acre
204,2017-12,257.475,25.51,336.0,733678.522672603,Acre
397,2017-01,30.621,26.55,193.0,1939232.32925536,Alagoas
398,2017-02,27.508,26.81,228.0,1939232.32925536,Alagoas
399,2017-03,44.26,26.97,293.0,1939232.32925536,Alagoas
400,2017-04,74.839,26.02,292.0,1939232.32925536,Alagoas
401,2017-05,155.31,24.72,489.0,1939232.32925536,Alagoas
402,2017-06,140.805,23.25,500.0,1939232.32925536,Alagoas
403,2017-07,164.596,21.7,243.0,1939232.32925536,Alagoas
404,2017-08,76.005,22.3,239.0,1939232.32925536,Alagoas
405,2017-09,82.739,22.52,184.0,1939232.32925536,Alagoas
406,2017-10,44.98,24.19,202.0,1939232.32925536,Alagoas
407,2017-11,18.853,25.91,326.0,1939232.32925536,Alagoas
408,2017-12,24.725,26.77,381.0,1939232.32925536,Alagoas
601,2017-01,264.577,25.4,103.0,482707.739091826,Amapa
602,2017-02,314.046,24.77,183.0,482707.739091826,Amapa
603,2017-03,231.679,25.42,196.0,482707.739091826,Amapa
604,2017-04,142.662,25.36,80.0,482707.739091826,Amapa
605,2017-05,50.838,25.68,107.0,482707.739091826,Amapa
606,2017-06,8.182,24.67,59.0,482707.739091826,Amapa
607,2017-07,0.028,24.35,32.0,482707.739091826,Amapa
608,2017-08,12.752,27.67,18.0,482707.739091826,Amapa
609,2017-09,18.662,29.01,18.0,482707.739091826,Amapa
610,2017-10,110.217,27.62,53.0,482707.739091826,Amapa
611,2017-11,225.016,25.69,30.0,482707.739091826,Amapa
612,2017-12,295.258,25.26,25.0,482707.739091826,Amapa
805,2017-01,100.233,25.08,155.0,3922237.75063418,Amazonas
806,2017-02,142.527,23.73,227.0,3922237.75063418,Amazonas
807,2017-03,97.932,24.07,201.0,3922237.75063418,Amazonas
808,2017-04,34.531,23.05,143.0,3922237.75063418,Amazonas
809,2017-05,42.657,21.31,59.0,3922237.75063418,Amazonas
810,2017-06,9.978,20.38,50.0,3922237.75063418,Amazonas
811,2017-07,7.642,18.25,43.0,3922237.75063418,Amazonas
812,2017-08,6.52,20.87,83.0,3922237.75063418,Amazonas
813,2017-09,12.517,22.17,52.0,3922237.75063418,Amazonas
814,2017-10,53.78,24.97,75.0,3922237.75063418,Amazonas
815,2017-11,177.559,22.75,89.0,3922237.75063418,Amazonas
816,2017-12,220.522,23.29,85.0,3922237.75063418,Amazonas
1009,2017-01,346.29,24.82,1859.0,14966698.5655249,Bahia
1010,2017-02,376.525,24.55,1588.0,14966698.5655249,Bahia
1011,2017-03,361.722,24.88,1355.0,14966698.5655249,Bahia
1012,2017-04,316.033,25.08,1402.0,14966698.5655249,Bahia
1013,2017-05,154.528,25.81,1304.0,14966698.5655249,Bahia
1014,2017-06,78.128,26.04,654.0,14966698.5655249,Bahia
1015,2017-07,48.102,26.68,586.0,14966698.5655249,Bahia
1016,2017-08,16.768,28.25,463.0,14966698.5655249,Bahia
1017,2017-09,36.57,28.7,347.0,14966698.5655249,Bahia
1018,2017-10,86.293,27.93,369.0,14966698.5655249,Bahia
1019,2017-11,105.892,27.32,335.0,14966698.5655249,Bahia
1020,2017-12,234.695,26.06,380.0,14966698.5655249,Bahia
1213,2017-01,27.932,27.32,2013.0,8433243.93239153,Ceara
1214,2017-02,63.939,26.84,3907.0,8433243.93239153,Ceara
1215,2017-03,85.884,26.33,7302.0,8433243.93239153,Ceara
1216,2017-04,61.695,26.48,12624.0,8433243.93239153,Ceara
1217,2017-05,74.28,25.7,6982.0,8433243.93239153,Ceara
1218,2017-06,51.802,24.51,2882.0,8433243.93239153,Ceara
1219,2017-07,74.19,22.73,1318.0,8433243.93239153,Ceara
1220,2017-08,10.946,24.46,668.0,8433243.93239153,Ceara
1221,2017-09,12.884,24.69,395.0,8433243.93239153,Ceara
1222,2017-10,11.828,26.09,319.0,8433243.93239153,Ceara
1223,2017-11,6.715,26.86,326.0,8433243.93239153,Ceara
1224,2017-12,13.422,27.29,297.0,8433243.93239153,Ceara
1417,2017-01,208.773,23.41,177.0,13162712.8505577,DistritoFederal
1418,2017-02,139.674,23.78,256.0,13162712.8505577,DistritoFederal
1419,2017-03,125.277,22.25,557.0,13162712.8505577,DistritoFederal
1420,2017-04,115.188,19.73,620.0,13162712.8505577,DistritoFederal
1421,2017-05,186.42,18.66,919.0,13162712.8505577,DistritoFederal
1422,2017-06,113.992,15.95,792.0,13162712.8505577,DistritoFederal
1423,2017-07,7.607,15.52,211.0,13162712.8505577,DistritoFederal
1424,2017-08,97.939,17.81,140.0,13162712.8505577,DistritoFederal
1425,2017-09,36.487,22.49,112.0,13162712.8505577,DistritoFederal
1426,2017-10,221.75,20.83,115.0,13162712.8505577,DistritoFederal
1427,2017-11,150.148,20.88,127.0,13162712.8505577,DistritoFederal
1428,2017-12,251.288,22.75,159.0,13162712.8505577,DistritoFederal
